function_name,date,value
Kitchen Illuminance,2019-03-17,24
Kitchen Illuminance,2019-03-18,24
Kitchen Illuminance,2019-03-19,26
Kitchen Illuminance,2019-03-20,24
Kitchen Illuminance,2019-03-21,29
Kitchen Illuminance,2019-03-22,25
Kitchen Illuminance,2019-03-23,28
Kitchen Illuminance,2019-03-24,26
Kitchen Illuminance,2019-03-25,32
Kitchen Illuminance,2019-03-26,26
Kitchen Illuminance,2019-03-27,24
Kitchen Illuminance,2019-03-28,24
Kitchen Illuminance,2019-03-29,43
Kitchen Illuminance,2019-03-30,30
Kitchen Illuminance,2019-03-31,27
Kitchen Motion,2019-03-01,141
Kitchen Motion,2019-03-02,115
Kitchen Motion,2019-03-03,215
Kitchen Motion,2019-03-04,155
Kitchen Motion,2019-03-05,198
Kitchen Motion,2019-03-06,120
Kitchen Motion,2019-03-07,177
Kitchen Motion,2019-03-08,258
Kitchen Motion,2019-03-09,108
Kitchen Motion,2019-03-10,120
Kitchen Motion,2019-03-11,210
Kitchen Motion,2019-03-12,150
Kitchen Motion,2019-03-13,88
Kitchen Motion,2019-03-14,124
Kitchen Motion,2019-03-15,130
Kitchen Motion,2019-03-16,171
Kitchen Motion,2019-03-17,138
Kitchen Motion,2019-03-18,143
Kitchen Motion,2019-03-19,210
Kitchen Motion,2019-03-20,206
Kitchen Motion,2019-03-21,155
Kitchen Motion,2019-03-22,126
Kitchen Motion,2019-03-23,100
Kitchen Motion,2019-03-24,112
Kitchen Motion,2019-03-25,115
Kitchen Motion,2019-03-26,153
Kitchen Motion,2019-03-27,164
Kitchen Motion,2019-03-28,153
Kitchen Motion,2019-03-29,158
Kitchen Motion,2019-03-30,117
Kitchen Motion,2019-03-31,116
Lounge Illuminance,2019-03-01,25
Lounge Illuminance,2019-03-02,24
Lounge Illuminance,2019-03-03,26
Lounge Illuminance,2019-03-04,26
Lounge Illuminance,2019-03-05,25
Lounge Illuminance,2019-03-06,27
Lounge Illuminance,2019-03-07,24
Lounge Illuminance,2019-03-08,24
Lounge Illuminance,2019-03-09,24
Lounge Illuminance,2019-03-10,24
Lounge Illuminance,2019-03-11,24
Lounge Illuminance,2019-03-12,24
Lounge Illuminance,2019-03-13,24
Lounge Illuminance,2019-03-14,24
Lounge Illuminance,2019-03-15,24
Lounge Illuminance,2019-03-16,24
Lounge Illuminance,2019-03-17,24
Lounge Illuminance,2019-03-18,24
Lounge Illuminance,2019-03-19,24
Lounge Illuminance,2019-03-20,24
Lounge Illuminance,2019-03-21,24
Lounge Illuminance,2019-03-22,24
Lounge Illuminance,2019-03-23,24
Lounge Illuminance,2019-03-24,24
Lounge Illuminance,2019-03-25,24
Lounge Illuminance,2019-03-26,24
Lounge Illuminance,2019-03-27,24
Lounge Illuminance,2019-03-28,24
Lounge Illuminance,2019-03-29,24
Lounge Illuminance,2019-03-30,24
Lounge Illuminance,2019-03-31,23
Lounge Motion,2019-03-01,48
Lounge Motion,2019-03-02,24
Lounge Motion,2019-03-03,157
Lounge Motion,2019-03-04,24
Lounge Motion,2019-03-05,18
Lounge Motion,2019-03-06,19
Lounge Motion,2019-03-07,10
Lounge Motion,2019-03-08,100
Lounge Motion,2019-03-09,14
Lounge Motion,2019-03-10,18
Lounge Motion,2019-03-11,32
Lounge Motion,2019-03-12,20
Lounge Motion,2019-03-13,2
Lounge Motion,2019-03-14,2
Lounge Motion,2019-03-15,12
Lounge Motion,2019-03-16,24
Lounge Motion,2019-03-17,22
Lounge Motion,2019-03-18,8
Lounge Motion,2019-03-19,44
Lounge Motion,2019-03-20,20
Lounge Motion,2019-03-21,10
Lounge Motion,2019-03-22,14
Lounge Motion,2019-03-23,8
Lounge Motion,2019-03-24,6
Lounge Motion,2019-03-25,8
Lounge Motion,2019-03-26,2
Lounge Motion,2019-03-27,10
Lounge Motion,2019-03-28,10
Lounge Motion,2019-03-29,22
Lounge Motion,2019-03-30,10
Lounge Motion,2019-03-31,4
TV Lounge Power,2019-03-01,1622
TV Lounge Power,2019-03-02,2138
TV Lounge Power,2019-03-03,2250
TV Lounge Power,2019-03-04,1462
TV Lounge Power,2019-03-05,1082
TV Lounge Power,2019-03-06,1457
TV Lounge Power,2019-03-07,1770
TV Lounge Power,2019-03-08,1309
TV Lounge Power,2019-03-09,2093
TV Lounge Power,2019-03-10,2909
TV Lounge Power,2019-03-11,1395
TV Lounge Power,2019-03-12,2338
TV Lounge Power,2019-03-13,1345
TV Lounge Power,2019-03-14,1218
TV Lounge Power,2019-03-15,1339
TV Lounge Power,2019-03-16,1957
TV Lounge Power,2019-03-17,1826
TV Lounge Power,2019-03-18,1175
TV Lounge Power,2019-03-19,483
TV Lounge Power,2019-03-20,1351
TV Lounge Power,2019-03-21,1156
TV Lounge Power,2019-03-22,845
TV Lounge Power,2019-03-23,1421
TV Lounge Power,2019-03-24,1267
TV Lounge Power,2019-03-25,1336
TV Lounge Power,2019-03-26,867
TV Lounge Power,2019-03-27,992
TV Lounge Power,2019-03-28,979
TV Lounge Power,2019-03-29,1199
TV Lounge Power,2019-03-30,1845
TV Lounge Power,2019-03-31,846
battery,2019-03-01,6
battery,2019-03-02,6
battery,2019-03-03,6
battery,2019-03-04,6
battery,2019-03-05,6
battery,2019-03-06,6
battery,2019-03-07,6
battery,2019-03-08,6
battery,2019-03-09,6
battery,2019-03-10,6
battery,2019-03-11,6
battery,2019-03-12,6
battery,2019-03-13,7
battery,2019-03-14,6
battery,2019-03-15,6
battery,2019-03-16,6
battery,2019-03-17,7
battery,2019-03-18,6
battery,2019-03-19,6
battery,2019-03-20,6
battery,2019-03-21,6
battery,2019-03-22,6
battery,2019-03-23,6
battery,2019-03-24,6
battery,2019-03-25,6
battery,2019-03-26,6
battery,2019-03-27,6
battery,2019-03-28,6
battery,2019-03-29,6
battery,2019-03-30,6
battery,2019-03-31,6
temp,2019-03-03,1
temp,2019-03-04,1
temp,2019-03-05,0
temp,2019-03-06,0
temp,2019-03-07,0
temp,2019-03-08,0
temp,2019-03-09,0
temp,2019-03-10,0
temp,2019-03-11,1
temp,2019-03-12,3
temp,2019-03-13,0
temp,2019-03-14,1
temp,2019-03-15,1
temp,2019-03-16,0
temp,2019-03-17,0
temp,2019-03-18,0
temp,2019-03-19,2
temp,2019-03-20,1
temp,2019-03-21,1
temp,2019-03-22,2
temp,2019-03-23,2
temp,2019-03-24,2
temp,2019-03-25,0
temp,2019-03-26,3
temp,2019-03-27,1
temp,2019-03-28,2
temp,2019-03-29,2
temp,2019-03-30,1
temp,2019-03-31,4
